"","Date","Experiment.Week","Location","Plant.Number","Pair","Size","Start.Time","End.Time","Avg.open.flowers.per.inflorescence","Total.inflorescenses","Total.Flowers","Honeybees","Volume","Sugar_conc","Sugar_content","Volume_var","Sugar_conc_var","Sugar_content_var","Temperature","Humidity","Wind","Speed","Gust","Pressure","Solar","Clustered","East","hotDay","visits"
"42","5/30/2017","3","Pair 3 Small","1","3","Small","2017-05-30 10:45:00","2017-05-30 11:00:00",1.29666519026153,0.698970004336019,1.99563519459755,0.477121254719662,0.178257320812189,-0.364761815222189,-0.225923482514344,-0.0427320133175737,-1.88443523127465,-0.846664657946294,1.84198480459011,"67%","SW",0.544068044350276,"9.4mph","29.94in",2.61739354574885,FALSE,FALSE,TRUE,FALSE
"43","5/30/2017","3","Pair 4 Large","2","4","Large","2017-05-30 11:34:00","2017-05-30 11:49:00",1.7979596437372,1.36172783601759,3.15968747975479,1.73239375982297,0.0721119752659088,-0.263997293998038,-0.201174618978827,-0.788487110184643,-2.34484971177425,-1.46779126546314,1.86033800657099,"62%","WNW",0.716003343634799,"10.2mph","29.94in",2.96349269007161,TRUE,FALSE,TRUE,TRUE
"44","5/30/2017","3","Pair 4 Small","2","4","Small","2017-05-30 11:09:00","2017-05-30 11:24:00",1.56110138364906,0.903089986991944,2.464191370641,1.44715803134222,0.289059138026591,-0.330329349334133,-0.0587790430185469,-0.0511692753408453,-2.42837179514896,-0.884507282403811,1.85125834871908,"63%","SW",0.643452676486187,"11.9mph","29.93in",2.98368265606249,TRUE,FALSE,TRUE,FALSE
"45","5/30/2017","3","Pair 5 Large","2","5","Large","2017-05-30 11:04:00","2017-05-30 11:19:00",1.34242268082221,1.14612803567824,2.48855071650044,1.5910646070265,-0.28330122870355,-0.041941759737072,-0.340367667644448,-1.3201038766113,-1.65830599460861,-1.55229735525733,1.8488047010518,"66%","West",0.255272505103306,"6mph","29.94in",2.97399326965871,FALSE,FALSE,TRUE,TRUE
"46","5/30/2017","3","Pair 5 Small","1","5","Small","2017-05-30 11:28:00","2017-05-30 11:43:00",1.11394335230684,0.845098040014257,1.95904139232109,1,-0.310173375103851,-0.0478176724542662,-0.388708280780594,-1.38430195781376,-1.39547040404078,-1.83070364682743,1.86033800657099,"62%","WNW",0.716003343634799,"10.2mph","29.94in",2.96349269007161,FALSE,FALSE,TRUE,FALSE
"47","5/30/2017","3","Pair 6 Large","2","6","Large","2017-05-30 10:06:00","2017-05-30 10:21:00",1.47712125471966,1.14612803567824,2.6232492903979,1.66275783168157,-0.209582878357427,-0.294671398858155,-0.461984258112452,-1.36755287654263,-1.13317760451314,-1.31852480466604,1.82412583391655,"73%","SSE",0.544068044350276,"10.2mph","29.94in",2.87252046101442,TRUE,FALSE,FALSE,TRUE
"48","5/30/2017","3","Pair 6 Small","2","6","Small","2017-05-30 10:30:00","2017-05-30 10:45:00",1.36172783601759,1,2.36172783601759,1,-0.425968732272281,-0.471901730814123,-0.815131197531211,-1.430516360023,-1.32952076613229,-1.63858723025033,1.8394780473742,"70%","SSW",0.544068044350276,"10.2mph","29.94in",2.8040542013505,TRUE,FALSE,TRUE,FALSE
"49","6/2/2017","3","Pair 1 Large","1","1","Large","2017-06-02 10:44:00","2017-06-02 10:59:00",1.28780172993023,1.76342799356294,3.05122972349316,1.57978359661681,0.122670875152478,-0.276399868276168,-0.234445268982144,-0.151295165181532,-1.33201849859248,-1.05840069059716,1.88081359228079,"58%","West",0.544068044350276,"9.4mph","29.91in",2.92201142460606,FALSE,TRUE,TRUE,TRUE
"50","6/2/2017","3","Pair 1 Small","1","1","Small","2017-06-02 11:05:00","2017-06-02 11:20:00",0.716003343634799,1.17609125905568,1.89209460269048,0,0.167973368833501,-0.315590494568697,-0.215883175132456,0.151400710859917,-1.58767952428596,-0.790457686412142,1.88986172125819,"53%","West",0.716003343634799,"15.3mph","29.91in",2.94847409527154,FALSE,TRUE,TRUE,FALSE
"51","6/2/2017","3","Pair 2 Large","1","2","Large","2017-06-02 10:19:00","2017-06-02 10:34:00",1.54406804435028,1.36172783601759,2.90579588036787,1.75587485567249,0.104088597635179,-0.276701047461633,-0.180456064458131,0.0721263442209599,-1.98095008294722,-0.493130460372687,1.8733206018154,"60%","WNW",0.255272505103306,"7.7mph","29.91in",2.87397416775049,TRUE,TRUE,TRUE,TRUE
